2025-08-06 16:17:37.402 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 3 완료 (총 8건)
2025-08-06 16:17:37.404 | INFO     | __main__:crawl_accident_data:76 - 페이지 3/62 완료 (현재까지 총 19건)
2025-08-06 16:17:37.508 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A84-1&chartType=1
2025-08-06 16:17:37.528 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차4-1
2025-08-06 16:17:38.723 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A84-2&chartType=1
2025-08-06 16:17:38.743 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차4-2
2025-08-06 16:17:39.837 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A84-3&chartType=1
2025-08-06 16:17:39.838 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 4 완료 (총 2건)
2025-08-06 16:17:39.838 | INFO     | __main__:crawl_accident_data:76 - 페이지 4/62 완료 (현재까지 총 21건)
2025-08-06 16:17:39.910 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A85-1&chartType=1
2025-08-06 16:17:39.937 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차5-1
2025-08-06 16:17:41.131 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A85-2&chartType=1
2025-08-06 16:17:41.169 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차5-2
2025-08-06 16:17:42.261 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A85-3&chartType=1
2025-08-06 16:17:42.262 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 5 완료 (총 2건)
2025-08-06 16:17:42.262 | INFO     | __main__:crawl_accident_data:76 - 페이지 5/62 완료 (현재까지 총 23건)
2025-08-06 16:17:42.361 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A86-1&chartType=1
2025-08-06 16:17:42.386 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차6-1
2025-08-06 16:17:43.478 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A86-2&chartType=1
2025-08-06 16:17:43.478 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 6 완료 (총 1건)
2025-08-06 16:17:43.479 | INFO     | __main__:crawl_accident_data:76 - 페이지 6/62 완료 (현재까지 총 24건)
2025-08-06 16:17:43.571 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A87-1&chartType=1
2025-08-06 16:17:43.590 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차7-1
2025-08-06 16:17:44.694 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A87-2&chartType=1
2025-08-06 16:17:44.713 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차7-2
2025-08-06 16:17:46.441 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A87-3&chartType=1
2025-08-06 16:17:46.442 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 7 완료 (총 2건)
2025-08-06 16:17:46.443 | INFO     | __main__:crawl_accident_data:76 - 페이지 7/62 완료 (현재까지 총 26건)
2025-08-06 16:17:46.523 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A88-1&chartType=1
2025-08-06 16:17:46.543 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차8-1
2025-08-06 16:17:47.647 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A88-2&chartType=1
2025-08-06 16:17:47.667 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차8-2
2025-08-06 16:17:48.968 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A88-3&chartType=1
2025-08-06 16:17:48.989 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차8-3
2025-08-06 16:17:50.053 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A88-4&chartType=1
2025-08-06 16:17:50.053 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 8 완료 (총 3건)
2025-08-06 16:17:50.054 | INFO     | __main__:crawl_accident_data:76 - 페이지 8/62 완료 (현재까지 총 29건)
2025-08-06 16:17:50.128 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A89-1&chartType=1
2025-08-06 16:17:50.148 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차9-1
2025-08-06 16:17:51.326 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A89-2&chartType=1
2025-08-06 16:17:51.351 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차9-2
2025-08-06 16:17:52.429 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A89-3&chartType=1
2025-08-06 16:17:52.429 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 9 완료 (총 2건)
2025-08-06 16:17:52.429 | INFO     | __main__:crawl_accident_data:76 - 페이지 9/62 완료 (현재까지 총 31건)
2025-08-06 16:17:52.521 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A810-1&chartType=1
2025-08-06 16:17:52.551 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차10-1
2025-08-06 16:17:53.631 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A810-2&chartType=1
2025-08-06 16:17:53.631 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 10 완료 (총 1건)
2025-08-06 16:17:53.632 | INFO     | __main__:crawl_accident_data:76 - 페이지 10/62 완료 (현재까지 총 32건)
2025-08-06 16:17:53.730 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A811-1&chartType=1
2025-08-06 16:17:53.753 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차11-1
2025-08-06 16:17:54.881 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A811-2&chartType=1
2025-08-06 16:17:54.906 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차11-2
2025-08-06 16:17:56.038 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A811-3&chartType=1
2025-08-06 16:17:56.057 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차11-3
2025-08-06 16:17:57.170 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A811-4&chartType=1
2025-08-06 16:17:57.189 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차11-4
2025-08-06 16:17:58.410 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A811-5&chartType=1
2025-08-06 16:17:58.456 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차11-5
2025-08-06 16:17:59.562 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A811-6&chartType=1
2025-08-06 16:17:59.581 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차11-6
2025-08-06 16:18:00.662 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A811-7&chartType=1
2025-08-06 16:18:00.664 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 11 완료 (총 6건)
2025-08-06 16:18:00.664 | INFO     | __main__:crawl_accident_data:76 - 페이지 11/62 완료 (현재까지 총 38건)
2025-08-06 16:18:00.759 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A812-1&chartType=1
